Item,Component,Part Number,Quantity,Unit_Cost_USD,Total_Cost_USD,Supplier,Notes
1,MCU,nRF52840-module,1,4.00,4.00,DigiKey,BLE + radio control
2,Sub-GHz Radio,CC1101,1,2.10,2.10,Mouser,868 MHz mesh radio
3,Load Cell Amplifier,HX711,1,0.85,0.85,DigiKey,24-bit ADC
4,Load Cell 5kg,YZC-1C,1,3.50,3.50,eBay,Syrup level monitoring
5,Servo Motor,MG996R,1,2.50,2.50,Amazon,Syrup valve actuator
6,Stepper Motor,28BYJ-48,1,1.50,1.50,Amazon,Pollen patty advance
7,Stepper Driver,ULN2003,1,0.50,0.50,DigiKey,Stepper driver board
8,Temp/Humidity Sensor,SHT40-AD1B-R3,1,2.50,2.50,DigiKey,Feeder temp (fermentation)
9,Voltage Regulator,TLV1117LV33,1,0.50,0.50,DigiKey,3.3V regulator
10,Motor Driver,L293D,1,0.80,0.80,DigiKey,Dual H-bridge for servo+motor
11,Solar Charge Controller,TP4056,1,0.50,0.50,DigiKey,Li-Ion charging
12,Battery,18650 Li-Ion 2600mAh,1,4.00,4.00,Amazon,Power storage
13,Battery Holder,18650 single holder,1,0.40,0.40,DigiKey,Battery holder
14,Solar Panel,2W 5V panel,1,3.00,3.00,eBay,Mini solar panel
15,Antenna,868MHz whip,1,1.80,1.80,DigiKey,External antenna
16,Food-safe Tubing,Silicone 6mm ID,1,2.00,2.00,Amazon,Food-grade syrup tubing
17,PCB,4-layer FR4 50×35mm,1,3.00,3.00,JLCPCB,Custom board
18,Enclosure,Food-grade ABS box,1,4.00,4.00,eBay,Food-safe enclosure
19,Total,,,,,40.95,
