JointSync Joint Tag BOM
#,Part,Qty,Unit Price,Extended,Source
1,nRF52840 QFAA,1,5.10,5.10,Mouser
2,BMI270 (6-DoF IMU),1,3.90,3.90,Mouser
3,TMP117 (±0.1°C digital temp),1,2.80,2.80,Mouser
4,MAX30101 (PPG + SpO2),1,4.20,4.20,Maxim
5,MX25R6435F (8 MB SPI flash),1,1.10,1.10,Macronix
6,CR2477 coin cell holder,1,0.60,0.60,Mouser
7,CR2477 battery,1,2.20,2.20,Battery Mart
8,TPS22917 load switch,1,0.65,0.65,Mouser
9,PCB (4-layer 28mm circular),1,2.50,2.50,JLCPCB
10,NFC antenna (PCB trace),1,0.00,0.00,PCB
11,Medical silicone housing,1,1.50,1.50,Custom
12,Velcro strap,1,0.50,0.50,Generic
13,Status LED (0402 SMD),2,0.15,0.30,Mouser
14,Passive components,20,0.08,1.50,Various
Total,,,26.95,
