Component,Part,Qty,UnitPrice,Total,Supplier,PartNumber
SoC,nRF52840 QFAA,1,5.80,5.80,Mouser,nRF52840-QFAA-R
IMU,ICM-42688-P,1,3.50,3.50,DigiKey,ICM-42688-P
PPG Sensor,MAX30102,1,2.90,2.90,DigiKey,MAX30102
Skin Temperature,TMP117,1,2.20,2.20,DigiKey,TMP117AIDRVR
Haptic Driver,DRV2605L,1,1.50,1.50,DigiKey,DRV2605L
LRA Motor,Linear Resonant Actuator,1,1.00,1.00,DigiKey,LRA-0828
Fuel Gauge,MAX17048,1,1.50,1.50,DigiKey,MAX17048G+T10
Charger IC,MCP73831,1,0.60,0.60,DigiKey,MCP73831T-2ACI/OT
Battery,402030 LiPo 400mAh,1,3.20,3.20,BatterySpace,402030-400
Status LEDs,RGB LED 0603,3,0.15,0.45,LCSC,RGB-0603
Buttons,Tactile switch,2,0.20,0.40,LCSC,TS-1187
PCB,4-layer flex 40x25mm,1,5.00,5.00,JLCPCB,Flex-4L
Enclosure,Silicone + PC wristband,1,3.50,3.50,Custom,Band-Enclosure
Total,,,,30.70,,
