Ref,Qty,Value,Description,Manufacturer,PartNumber,Footprint,Unit_Price,Extended_Price,Notes
U1,1,ESP32-S3,Dual-core Xtensa LX7 8MB flash,Espressif,ESP32-S3-WROOM-1-N8R2,Module,3.80,3.80,Main MCU+wireless
U2,1,AS7341,11-channel spectral sensor 340-880nm,ams-OSRAM,AS7341-FLT,LLGA-20,4.20,4.20,Beer spectral analysis
U3,1,VL53L1X,ToF distance sensor 4m,STMicroelectronics,VL53L1CXV0DHVC1,LGA-12,2.50,2.50,Volume/meniscus
U4,1,SCD41,CO2 sensor 400-5000ppm,Sensirion,SCD41,DFN-6,8.90,8.90,Sample CO2
U5,1,ICM-42670,6-axis IMU,TDK,ICM-42670-P,LGA-14,1.80,1.80,Shake/movement
U6,1,AP2112K-3.3,3.3V LDO 600mA,Diodes Inc,AP2112K-3.3,SOT-23-5,0.25,0.25,Power regulation
U7,1,MCP73871,Li-Po battery charger,Microchip,MCP73871-2CCI,QFN-20,1.80,1.80,Battery management
LCD1,1,1.3" IPS,1.3" 240x240 IPS LCD SPI,Generic,SPI,1.50,1.50,Local display
Y1,1,40MHz,40MHz crystal,Abracon,ABM8-40.000MHZ,HC49/SMD,0.40,0.40,Clock
C1-C8,8,100nF,100nF ceramic capacitor 0402,Murata,GRM155R71C104KA88D,0402,0.02,0.16,Decoupling
C9,1,10uF,10uF ceramic capacitor 0603,Murata,GRM188R61C106MA73D,0603,0.08,0.08,Bulk
R1-R6,6,10k,10k resistor 0402,Yageo,RC0402FR-0710KL,0402,0.005,0.03,Pull-ups
SW1-3,3,Tactile,Tactile switch 6x3.5mm,Alps,SKQGAFE010,SMD,0.15,0.45,UI buttons
ANT1,1,2.4GHz,2.4GHz chip antenna,Johanson,2450AT18A100,0805,0.80,0.80,BLE/Wi-Fi antenna
J1,1,USB-C,USB-C receptacle 2.0,Amphenol,12401832E422A,USB-C,0.60,0.60,Charging/data
BT1,1,1000mAh,1000mAh Li-Po battery,Various,LP602030,Li-Po,3.00,3.00,Battery
PCB1,1,Custom,4-layer PCB 35x70mm ENIG,Various,Custom,2.50,2.50,Main PCB
ENC1,1,Handheld,Handheld enclosure 40x75x20mm,Hammond,1551M,Custom,4.00,4.00,Handheld housing
LENS1,1,Spectral,Lens for AS7341 + sample window,Edmund,Custom,Custom,6.50,6.50,Optics assembly
,,,,,,,
,Total:,,,,$52.27
