RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU RP2040,Raspberry Pi,RP2040,1,1.10,1.10,Dual-core M0+ 133MHz
U2,MCU ESP32-C6,Espressif,ESP32-C6-WROOM-1,1,2.80,2.80,WiFi6 + BLE5.3
U3,MCU nRF52840,Nordic,nRF52840-QIAA-R,1,4.20,4.20,BLE mesh radio
U4,SX1262 (n/a),-,not-used,0,0.00,0.00,nRF52840 handles mesh
U5,SPI Flash W25Q256,Winbond,W25Q256JVEIQ,1,1.20,1.20,32MB
U6,RTC PCF8563,NXP,PCF8563BS,1,0.60,0.60,
U7,Audio Amp MAX98357A,Maxim,MAX98357AETE+,1,1.50,1.50,I2S class-D
U8,Charger TP4056,Nanjing,TP4056,1,0.30,0.30,LiPo charge
U9,LDO 3.3V RT9013,Richtek,RT9013-33GB,1,0.40,0.40,
U10,Qi TX BQ500212A,TI,BQ500212ARQLR,1,2.50,2.50,5W transmitter
DS1,TFT ILI9488 3.5",BuyDisplay,ER-TFT035-6,1,8.50,8.50,320x480 IPS
SPK1,Speaker 28mm 8Ω,CUI,CM-2803N,1,1.20,1.20,
LED1,WS2812 RGB,Worldsemi,WS2812B,1,0.20,0.20,
LED2-5,SMD LED 0603,Lite-On,LTST-C193,4,0.05,0.20,green/amber/red/blue
BAT1,LiPo 2500mAh,PKCell,503759,1,4.50,4.50,3.7V pouch
J1,USB-C 16-pin,Amphenol,12401598E412A,1,0.80,0.80,
J2,MicroSD socket,Amphenol,114-00841-68,1,0.90,0.90,
X1,Crystal 12MHz,Abracon,ABLS-12.000MHZ,1,0.30,0.30,RP2040
X2,Crystal 32.768kHz,Abracon,ABS07-32.768KHZ,1,0.25,0.25,RTC
Q1,Qi TX coil,Wurth,760308101104,1,2.00,2.00,5W TX coil
MISC,Passives+PCB+enclosure,-,-,1,3.20,3.20,R,C,connectors,PCB,case
,,Total Qty1,,38.50,38.50,
,,Total Qty10k,,,21.40,21.40,volume pricing
